tstamp,windspeed-2,windspeed-1,windspeed-0,temperature-2,temperature-1,temperature-0,solarflux,humidity-2,humidity-1,humidity-0,clearingprice
965148300,3.61405,3.3554,3.5022,60.1832,60.082,59.8964,0,0.69813,0.7,0.70125,0.3
965149200,3.3554,3.5022,3.77483,60.082,59.8964,59.6545,0,0.7,0.70125,0.705,0.3
965150100,3.5022,3.77483,4.17328,59.8964,59.6545,59.3564,0,0.70125,0.705,0.71125,0.3
965151000,3.77483,4.17328,4.69757,59.6545,59.3564,59.002,0,0.705,0.71125,0.72,0.3
965151900,4.17328,4.69757,6.29138,59.3564,59.002,58.507,0,0.71125,0.72,0.73594,0.3
965152800,4.69757,6.29138,7.38189,59.002,58.507,58.012,0,0.72,0.73594,0.75125,0.14
965153700,6.29138,7.38189,7.96909,58.507,58.012,57.517,0,0.73594,0.75125,0.76594,0.14
965154600,7.38189,7.96909,8.05297,58.012,57.517,57.022,0,0.75125,0.76594,0.78,0.14
965155500,7.96909,8.05297,6.31235,57.517,57.022,56.4426,0,0.76594,0.78,0.79063,0.14
965156400,8.05297,6.31235,4.94922,57.022,56.4426,55.9195,0,0.78,0.79063,0.8025,0.14
965157300,6.31235,4.94922,3.96357,56.4426,55.9195,55.4526,0,0.79063,0.8025,0.81563,0.16
965158200,4.94922,3.96357,3.3554,55.9195,55.4526,55.042,0,0.8025,0.81563,0.83,0.3
965159100,3.96357,3.3554,3.71192,55.4526,55.042,54.5695,0,0.81563,0.83,0.85688,0.3
965160000,3.3554,3.71192,4.05445,55.042,54.5695,54.232,0,0.83,0.85688,0.8775,0.3
965160900,3.71192,4.05445,4.383,54.5695,54.232,54.0295,0,0.85688,0.8775,0.89188,0.3
965161800,4.05445,4.383,4.69757,54.232,54.0295,53.962,0,0.8775,0.89188,0.9,0.3
965162700,4.383,4.69757,4.87233,54.0295,53.962,54.7045,0,0.89188,0.9,0.88406,0.3
965163600,4.69757,4.87233,5.11699,53.962,54.7045,55.132,0,0.9,0.88406,0.87375,0.3
965164500,4.87233,5.11699,5.43156,54.7045,55.132,55.2445,0,0.88406,0.87375,0.86906,0.16
965165400,5.11699,5.43156,5.81603,55.132,55.2445,55.042,0,0.87375,0.86906,0.87,0.16
965166300,5.43156,5.81603,6.68984,55.2445,55.042,53.4107,0,0.86906,0.87,0.89719,0.16
965167200,5.81603,6.68984,7.35393,55.042,53.4107,52.207,0,0.87,0.89719,0.91625,0.14
965168100,6.68984,7.35393,7.80831,53.4107,52.207,51.4307,0,0.89719,0.91625,0.92719,0.14
965169000,7.35393,7.80831,8.05297,52.207,51.4307,51.082,0.28156,0.91625,0.92719,0.93,0.14
965169900,7.80831,8.05297,7.77335,51.4307,51.082,51.7007,1.41423,0.92719,0.93,0.91625,0.14
965170800,8.05297,7.77335,7.49374,51.082,51.7007,52.387,2.92423,0.93,0.91625,0.9,0.14
965171700,7.77335,7.49374,7.21412,51.7007,52.387,53.1407,4.81156,0.91625,0.9,0.88125,0.14
965172600,7.49374,7.21412,6.9345,52.387,53.1407,53.962,7.07621,0.9,0.88125,0.86,0.14
965173500,7.21412,6.9345,6.1306,53.1407,53.962,55.0364,9.88034,0.88125,0.86,0.82969,0.14
965174400,6.9345,6.1306,5.67623,53.962,55.0364,56.0545,12.9537,0.86,0.82969,0.80125,0.14
965175300,6.1306,5.67623,5.57137,55.0364,56.0545,57.0164,16.2963,0.82969,0.80125,0.77469,0.12
